"env_step","pqn_Breakout-MinAtar - _step","pqn_Breakout-MinAtar - _step__MIN","pqn_Breakout-MinAtar - _step__MAX","pqn_Breakout-MinAtar - test_returned_episode_returns","pqn_Breakout-MinAtar - test_returned_episode_returns__MIN","pqn_Breakout-MinAtar - test_returned_episode_returns__MAX"
"1130496","276","276","276","8.454179763793945","8.454179763793945","8.454179763793945"
"1134592","277","277","277","8.454179763793945","8.454179763793945","8.454179763793945"
"1138688","278","278","278","8.454179763793945","8.454179763793945","8.454179763793945"
"1142784","279","279","279","8.454179763793945","8.454179763793945","8.454179763793945"
"1146880","280","280","280","8.454179763793945","8.454179763793945","8.454179763793945"
"1150976","281","281","281","8.454179763793945","8.454179763793945","8.454179763793945"
"1155072","282","282","282","8.454179763793945","8.454179763793945","8.454179763793945"
"1159168","283","283","283","8.454179763793945","8.454179763793945","8.454179763793945"
"1163264","284","284","284","8.454179763793945","8.454179763793945","8.454179763793945"
"1167360","285","285","285","8.454179763793945","8.454179763793945","8.454179763793945"
"1171456","286","286","286","8.454179763793945","8.454179763793945","8.454179763793945"
"1175552","287","287","287","8.454179763793945","8.454179763793945","8.454179763793945"
"1179648","288","288","288","8.454179763793945","8.454179763793945","8.454179763793945"
"1183744","289","289","289","8.454179763793945","8.454179763793945","8.454179763793945"
"1187840","290","290","290","8.454179763793945","8.454179763793945","8.454179763793945"
"1191936","291","291","291","8.454179763793945","8.454179763793945","8.454179763793945"
"1196032","292","292","292","8.454179763793945","8.454179763793945","8.454179763793945"
"1200128","293","293","293","8.454179763793945","8.454179763793945","8.454179763793945"
"1204224","294","294","294","8.454179763793945","8.454179763793945","8.454179763793945"
"1208320","295","295","295","8.454179763793945","8.454179763793945","8.454179763793945"
"1212416","296","296","296","8.454179763793945","8.454179763793945","8.454179763793945"
"1216512","297","297","297","8.454179763793945","8.454179763793945","8.454179763793945"
"1220608","298","298","298","8.454179763793945","8.454179763793945","8.454179763793945"
"1224704","299","299","299","8.454179763793945","8.454179763793945","8.454179763793945"
"1228800","300","300","300","8.454179763793945","8.454179763793945","8.454179763793945"
"1232896","301","301","301","8.454179763793945","8.454179763793945","8.454179763793945"
"1236992","302","302","302","8.454179763793945","8.454179763793945","8.454179763793945"
"1241088","303","303","303","8.454179763793945","8.454179763793945","8.454179763793945"
"1245184","304","304","304","8.454179763793945","8.454179763793945","8.454179763793945"
"1249280","305","305","305","8.454179763793945","8.454179763793945","8.454179763793945"
"1253376","306","306","306","8.454179763793945","8.454179763793945","8.454179763793945"
"1257472","307","307","307","8.454179763793945","8.454179763793945","8.454179763793945"
"1261568","308","308","308","8.454179763793945","8.454179763793945","8.454179763793945"
"1265664","309","309","309","8.454179763793945","8.454179763793945","8.454179763793945"
"1269760","310","310","310","8.454179763793945","8.454179763793945","8.454179763793945"
"1273856","311","311","311","8.454179763793945","8.454179763793945","8.454179763793945"
"1277952","312","312","312","8.454179763793945","8.454179763793945","8.454179763793945"
"1282048","313","313","313","8.454179763793945","8.454179763793945","8.454179763793945"
"1286144","314","314","314","8.454179763793945","8.454179763793945","8.454179763793945"
"1290240","315","315","315","8.454179763793945","8.454179763793945","8.454179763793945"
"1294336","316","316","316","8.454179763793945","8.454179763793945","8.454179763793945"
"1298432","317","317","317","8.454179763793945","8.454179763793945","8.454179763793945"
"1302528","318","318","318","8.454179763793945","8.454179763793945","8.454179763793945"
"1306624","319","319","319","8.454179763793945","8.454179763793945","8.454179763793945"
"1310720","320","320","320","8.454179763793945","8.454179763793945","8.454179763793945"
"1314816","321","321","321","8.454179763793945","8.454179763793945","8.454179763793945"
"1318912","322","322","322","8.454179763793945","8.454179763793945","8.454179763793945"
"1323008","323","323","323","8.454179763793945","8.454179763793945","8.454179763793945"
"1327104","324","324","324","8.454179763793945","8.454179763793945","8.454179763793945"
"1331200","325","325","325","8.454179763793945","8.454179763793945","8.454179763793945"
"1335296","326","326","326","8.454179763793945","8.454179763793945","8.454179763793945"
"1339392","327","327","327","8.454179763793945","8.454179763793945","8.454179763793945"
"1343488","328","328","328","8.454179763793945","8.454179763793945","8.454179763793945"
"1347584","329","329","329","8.454179763793945","8.454179763793945","8.454179763793945"
"1351680","330","330","330","8.454179763793945","8.454179763793945","8.454179763793945"
"1355776","331","331","331","8.454179763793945","8.454179763793945","8.454179763793945"
"1359872","332","332","332","8.454179763793945","8.454179763793945","8.454179763793945"
"1363968","333","333","333","8.454179763793945","8.454179763793945","8.454179763793945"
"1368064","334","334","334","8.454179763793945","8.454179763793945","8.454179763793945"
"1372160","335","335","335","8.454179763793945","8.454179763793945","8.454179763793945"
"1376256","336","336","336","8.454179763793945","8.454179763793945","8.454179763793945"
"1380352","337","337","337","8.454179763793945","8.454179763793945","8.454179763793945"
"1384448","338","338","338","8.454179763793945","8.454179763793945","8.454179763793945"
"1388544","339","339","339","8.454179763793945","8.454179763793945","8.454179763793945"
"1392640","340","340","340","8.454179763793945","8.454179763793945","8.454179763793945"
"1396736","341","341","341","8.454179763793945","8.454179763793945","8.454179763793945"
"1400832","342","342","342","8.454179763793945","8.454179763793945","8.454179763793945"
"1404928","343","343","343","8.454179763793945","8.454179763793945","8.454179763793945"
"1409024","344","344","344","8.454179763793945","8.454179763793945","8.454179763793945"
"1413120","345","345","345","8.454179763793945","8.454179763793945","8.454179763793945"
"1417216","346","346","346","8.454179763793945","8.454179763793945","8.454179763793945"
"1421312","347","347","347","8.454179763793945","8.454179763793945","8.454179763793945"
"1425408","348","348","348","8.454179763793945","8.454179763793945","8.454179763793945"
