"env_step","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - _step","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - _step__MIN","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - _step__MAX","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - test_returned_episode_returns","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - test_returned_episode_returns__MIN","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - test_returned_episode_returns__MAX"
"610304","149","149","149","0.550000011920929","0.550000011920929","0.550000011920929"
"614400","150","150","150","0.550000011920929","0.550000011920929","0.550000011920929"
"618496","151","151","151","0.550000011920929","0.550000011920929","0.550000011920929"
"622592","152","152","152","0.550000011920929","0.550000011920929","0.550000011920929"
"626688","153","153","153","0.550000011920929","0.550000011920929","0.550000011920929"
"630784","154","154","154","0.550000011920929","0.550000011920929","0.550000011920929"
"634880","155","155","155","0.550000011920929","0.550000011920929","0.550000011920929"
"638976","156","156","156","0.550000011920929","0.550000011920929","0.550000011920929"
"643072","157","157","157","0.550000011920929","0.550000011920929","0.550000011920929"
"647168","158","158","158","0.550000011920929","0.550000011920929","0.550000011920929"
"651264","159","159","159","0.550000011920929","0.550000011920929","0.550000011920929"
"655360","160","160","160","0.550000011920929","0.550000011920929","0.550000011920929"
"659456","161","161","161","0.550000011920929","0.550000011920929","0.550000011920929"
"663552","162","162","162","0.550000011920929","0.550000011920929","0.550000011920929"
"667648","163","163","163","0.550000011920929","0.550000011920929","0.550000011920929"
"671744","164","164","164","0.550000011920929","0.550000011920929","0.550000011920929"
"675840","165","165","165","0.550000011920929","0.550000011920929","0.550000011920929"
"679936","166","166","166","0.550000011920929","0.550000011920929","0.550000011920929"
"684032","167","167","167","0.550000011920929","0.550000011920929","0.550000011920929"
"688128","168","168","168","0.550000011920929","0.550000011920929","0.550000011920929"
"692224","169","169","169","0.550000011920929","0.550000011920929","0.550000011920929"
"696320","170","170","170","0.550000011920929","0.550000011920929","0.550000011920929"
"700416","171","171","171","0.550000011920929","0.550000011920929","0.550000011920929"
"704512","172","172","172","0.550000011920929","0.550000011920929","0.550000011920929"
"708608","173","173","173","0.550000011920929","0.550000011920929","0.550000011920929"
"712704","174","174","174","0.550000011920929","0.550000011920929","0.550000011920929"
"716800","175","175","175","0.550000011920929","0.550000011920929","0.550000011920929"
"720896","176","176","176","0.550000011920929","0.550000011920929","0.550000011920929"
"724992","177","177","177","0.550000011920929","0.550000011920929","0.550000011920929"
"729088","178","178","178","0.550000011920929","0.550000011920929","0.550000011920929"
"733184","179","179","179","0.550000011920929","0.550000011920929","0.550000011920929"
"737280","180","180","180","0.550000011920929","0.550000011920929","0.550000011920929"
"741376","181","181","181","0.550000011920929","0.550000011920929","0.550000011920929"
"745472","182","182","182","0.550000011920929","0.550000011920929","0.550000011920929"
"749568","183","183","183","0.550000011920929","0.550000011920929","0.550000011920929"
"753664","184","184","184","0.550000011920929","0.550000011920929","0.550000011920929"
"757760","185","185","185","0.550000011920929","0.550000011920929","0.550000011920929"
"761856","186","186","186","0.550000011920929","0.550000011920929","0.550000011920929"
"765952","187","187","187","0.550000011920929","0.550000011920929","0.550000011920929"
"770048","188","188","188","0.550000011920929","0.550000011920929","0.550000011920929"
"774144","189","189","189","0.550000011920929","0.550000011920929","0.550000011920929"
"778240","190","190","190","0.550000011920929","0.550000011920929","0.550000011920929"
"782336","191","191","191","0.550000011920929","0.550000011920929","0.550000011920929"
"786432","192","192","192","0.550000011920929","0.550000011920929","0.550000011920929"
"790528","193","193","193","0.550000011920929","0.550000011920929","0.550000011920929"
"794624","194","194","194","0.550000011920929","0.550000011920929","0.550000011920929"
"798720","195","195","195","0.550000011920929","0.550000011920929","0.550000011920929"
"802816","196","196","196","0.550000011920929","0.550000011920929","0.550000011920929"
"806912","197","197","197","0.550000011920929","0.550000011920929","0.550000011920929"
"811008","198","198","198","0.550000011920929","0.550000011920929","0.550000011920929"
"815104","199","199","199","0.550000011920929","0.550000011920929","0.550000011920929"
"819200","200","200","200","0.550000011920929","0.550000011920929","0.550000011920929"
