"env_step","pqn_SpaceInvaders-MinAtar - _step","pqn_SpaceInvaders-MinAtar - _step__MIN","pqn_SpaceInvaders-MinAtar - _step__MAX","pqn_SpaceInvaders-MinAtar - returned_episode_returns","pqn_SpaceInvaders-MinAtar - returned_episode_returns__MIN","pqn_SpaceInvaders-MinAtar - returned_episode_returns__MAX"
"1232896","301","301","301","18.23876953125","18.23876953125","18.23876953125"
"1236992","302","302","302","17.854248046875","17.854248046875","17.854248046875"
"1241088","303","303","303","17.76220703125","17.76220703125","17.76220703125"
"1245184","304","304","304","18.06103515625","18.06103515625","18.06103515625"
"1249280","305","305","305","18.497314453125","18.497314453125","18.497314453125"
"1253376","306","306","306","18.2392578125","18.2392578125","18.2392578125"
"1257472","307","307","307","17.8466796875","17.8466796875","17.8466796875"
"1261568","308","308","308","17.1513671875","17.1513671875","17.1513671875"
"1265664","309","309","309","16.87158203125","16.87158203125","16.87158203125"
"1269760","310","310","310","17.197509765625","17.197509765625","17.197509765625"
"1273856","311","311","311","17.832275390625","17.832275390625","17.832275390625"
"1277952","312","312","312","17.807373046875","17.807373046875","17.807373046875"
"1282048","313","313","313","18.05859375","18.05859375","18.05859375"
"1286144","314","314","314","18.78662109375","18.78662109375","18.78662109375"
"1290240","315","315","315","18.977783203125","18.977783203125","18.977783203125"
"1294336","316","316","316","19.632568359375","19.632568359375","19.632568359375"
"1298432","317","317","317","19.64794921875","19.64794921875","19.64794921875"
"1302528","318","318","318","19.4208984375","19.4208984375","19.4208984375"
"1306624","319","319","319","19.385009765625","19.385009765625","19.385009765625"
"1310720","320","320","320","19.29638671875","19.29638671875","19.29638671875"
"1314816","321","321","321","19.27490234375","19.27490234375","19.27490234375"
"1318912","322","322","322","19.241943359375","19.241943359375","19.241943359375"
"1323008","323","323","323","18.982666015625","18.982666015625","18.982666015625"
"1327104","324","324","324","18.836181640625","18.836181640625","18.836181640625"
"1331200","325","325","325","18.66015625","18.66015625","18.66015625"
"1335296","326","326","326","18.97900390625","18.97900390625","18.97900390625"
"1339392","327","327","327","19.540771484375","19.540771484375","19.540771484375"
"1343488","328","328","328","20.27197265625","20.27197265625","20.27197265625"
"1347584","329","329","329","20.302490234375","20.302490234375","20.302490234375"
"1351680","330","330","330","20.574951171875","20.574951171875","20.574951171875"
"1355776","331","331","331","20.650634765625","20.650634765625","20.650634765625"
"1359872","332","332","332","20.255126953125","20.255126953125","20.255126953125"
"1363968","333","333","333","20.19384765625","20.19384765625","20.19384765625"
"1368064","334","334","334","19.7158203125","19.7158203125","19.7158203125"
"1372160","335","335","335","19.811767578125","19.811767578125","19.811767578125"
"1376256","336","336","336","19.764892578125","19.764892578125","19.764892578125"
"1380352","337","337","337","20.205810546875","20.205810546875","20.205810546875"
"1384448","338","338","338","20.32080078125","20.32080078125","20.32080078125"
"1388544","339","339","339","20.805419921875","20.805419921875","20.805419921875"
"1392640","340","340","340","20.71826171875","20.71826171875","20.71826171875"
"1396736","341","341","341","21.164794921875","21.164794921875","21.164794921875"
"1400832","342","342","342","21.651611328125","21.651611328125","21.651611328125"
"1404928","343","343","343","21.66748046875","21.66748046875","21.66748046875"
"1409024","344","344","344","21.6513671875","21.6513671875","21.6513671875"
"1413120","345","345","345","21.2568359375","21.2568359375","21.2568359375"
"1417216","346","346","346","21.4208984375","21.4208984375","21.4208984375"
"1421312","347","347","347","21.909912109375","21.909912109375","21.909912109375"
"1425408","348","348","348","21.95458984375","21.95458984375","21.95458984375"
"1429504","349","349","349","22.0283203125","22.0283203125","22.0283203125"
"1433600","350","350","350","21.669189453125","21.669189453125","21.669189453125"
"1437696","351","351","351","21.369873046875","21.369873046875","21.369873046875"
"1441792","352","352","352","21.38427734375","21.38427734375","21.38427734375"
"1445888","353","353","353","21.18359375","21.18359375","21.18359375"
"1449984","354","354","354","20.704345703125","20.704345703125","20.704345703125"
"1454080","355","355","355","21.678466796875","21.678466796875","21.678466796875"
"1458176","356","356","356","22.3515625","22.3515625","22.3515625"
"1462272","357","357","357","22.419677734375","22.419677734375","22.419677734375"
"1466368","358","358","358","22.938720703125","22.938720703125","22.938720703125"
"1470464","359","359","359","22.6298828125","22.6298828125","22.6298828125"
"1474560","360","360","360","22.669189453125","22.669189453125","22.669189453125"
"1478656","361","361","361","22.7763671875","22.7763671875","22.7763671875"
"1482752","362","362","362","22.97900390625","22.97900390625","22.97900390625"
"1486848","363","363","363","22.2578125","22.2578125","22.2578125"
"1490944","364","364","364","21.789306640625","21.789306640625","21.789306640625"
"1495040","365","365","365","21.6025390625","21.6025390625","21.6025390625"
"1499136","366","366","366","21.412109375","21.412109375","21.412109375"
"1503232","367","367","367","21.548828125","21.548828125","21.548828125"
"1507328","368","368","368","21.895263671875","21.895263671875","21.895263671875"
"1511424","369","369","369","22.02099609375","22.02099609375","22.02099609375"
"1515520","370","370","370","22.9560546875","22.9560546875","22.9560546875"
"1519616","371","371","371","23.453857421875","23.453857421875","23.453857421875"
"1523712","372","372","372","23.48681640625","23.48681640625","23.48681640625"
"1527808","373","373","373","23.8466796875","23.8466796875","23.8466796875"
"1531904","374","374","374","23.34619140625","23.34619140625","23.34619140625"
"1536000","375","375","375","23.488525390625","23.488525390625","23.488525390625"
"1540096","376","376","376","23.388427734375","23.388427734375","23.388427734375"
"1544192","377","377","377","22.955078125","22.955078125","22.955078125"
"1548288","378","378","378","22.619873046875","22.619873046875","22.619873046875"
"1552384","379","379","379","21.799072265625","21.799072265625","21.799072265625"
"1556480","380","380","380","21.5234375","21.5234375","21.5234375"
"1560576","381","381","381","21.85107421875","21.85107421875","21.85107421875"
"1564672","382","382","382","22.05322265625","22.05322265625","22.05322265625"
"1568768","383","383","383","22.099365234375","22.099365234375","22.099365234375"
"1572864","384","384","384","22.523681640625","22.523681640625","22.523681640625"
"1576960","385","385","385","22.6337890625","22.6337890625","22.6337890625"
"1581056","386","386","386","22.40869140625","22.40869140625","22.40869140625"
"1585152","387","387","387","22.50732421875","22.50732421875","22.50732421875"
"1589248","388","388","388","22.9013671875","22.9013671875","22.9013671875"
"1593344","389","389","389","22.843994140625","22.843994140625","22.843994140625"
"1597440","390","390","390","23.524169921875","23.524169921875","23.524169921875"
"1601536","391","391","391","23.368896484375","23.368896484375","23.368896484375"
"1605632","392","392","392","24.13232421875","24.13232421875","24.13232421875"
"1609728","393","393","393","24.452392578125","24.452392578125","24.452392578125"
"1613824","394","394","394","25.233642578125","25.233642578125","25.233642578125"
"1617920","395","395","395","25.2568359375","25.2568359375","25.2568359375"
"1622016","396","396","396","25.470703125","25.470703125","25.470703125"
"1626112","397","397","397","25.568603515625","25.568603515625","25.568603515625"
"1630208","398","398","398","26.55908203125","26.55908203125","26.55908203125"
"1634304","399","399","399","26.92578125","26.92578125","26.92578125"
"1638400","400","400","400","27.394775390625","27.394775390625","27.394775390625"
"1642496","401","401","401","27.97705078125","27.97705078125","27.97705078125"
"1646592","402","402","402","28.089111328125","28.089111328125","28.089111328125"
"1650688","403","403","403","27.646728515625","27.646728515625","27.646728515625"
