"env_step","Breakout-MinAtar_Transfer_From_Freeway-MinAtar - _step","Breakout-MinAtar_Transfer_From_Freeway-MinAtar - _step__MIN","Breakout-MinAtar_Transfer_From_Freeway-MinAtar - _step__MAX","Breakout-MinAtar_Transfer_From_Freeway-MinAtar - test_returned_episode_returns","Breakout-MinAtar_Transfer_From_Freeway-MinAtar - test_returned_episode_returns__MIN","Breakout-MinAtar_Transfer_From_Freeway-MinAtar - test_returned_episode_returns__MAX"
"270336","66","66","66","0.5022172927856445","0.5022172927856445","0.5022172927856445"
"274432","67","67","67","0.5022172927856445","0.5022172927856445","0.5022172927856445"
"278528","68","68","68","0.5022172927856445","0.5022172927856445","0.5022172927856445"
"282624","69","69","69","0.5022172927856445","0.5022172927856445","0.5022172927856445"
"286720","70","70","70","0.5022172927856445","0.5022172927856445","0.5022172927856445"
"290816","71","71","71","0.5022172927856445","0.5022172927856445","0.5022172927856445"
"294912","72","72","72","0.5022172927856445","0.5022172927856445","0.5022172927856445"
"299008","73","73","73","0.5022172927856445","0.5022172927856445","0.5022172927856445"
"303104","74","74","74","0.5022172927856445","0.5022172927856445","0.5022172927856445"
"307200","75","75","75","0.5022172927856445","0.5022172927856445","0.5022172927856445"
"311296","76","76","76","0.5022172927856445","0.5022172927856445","0.5022172927856445"
"315392","77","77","77","0.5022172927856445","0.5022172927856445","0.5022172927856445"
