"env_step","SpaceInvaders-MinAtar_Transfer_From_Freeway-MinAtar - _step","SpaceInvaders-MinAtar_Transfer_From_Freeway-MinAtar - _step__MIN","SpaceInvaders-MinAtar_Transfer_From_Freeway-MinAtar - _step__MAX","SpaceInvaders-MinAtar_Transfer_From_Freeway-MinAtar - returned_episode_returns","SpaceInvaders-MinAtar_Transfer_From_Freeway-MinAtar - returned_episode_returns__MIN","SpaceInvaders-MinAtar_Transfer_From_Freeway-MinAtar - returned_episode_returns__MAX"
"933888","228","228","228","10.717529296875","10.717529296875","10.717529296875"
"937984","229","229","229","9.982666015625","9.982666015625","9.982666015625"
"942080","230","230","230","9.330322265625","9.330322265625","9.330322265625"
"946176","231","231","231","9.447265625","9.447265625","9.447265625"
"950272","232","232","232","9.46337890625","9.46337890625","9.46337890625"
"954368","233","233","233","9.745849609375","9.745849609375","9.745849609375"
"958464","234","234","234","10.191650390625","10.191650390625","10.191650390625"
"962560","235","235","235","10.374267578125","10.374267578125","10.374267578125"
"966656","236","236","236","10.5732421875","10.5732421875","10.5732421875"
"970752","237","237","237","11.077880859375","11.077880859375","11.077880859375"
"974848","238","238","238","10.953125","10.953125","10.953125"
"978944","239","239","239","10.266845703125","10.266845703125","10.266845703125"
"983040","240","240","240","10.28857421875","10.28857421875","10.28857421875"
"987136","241","241","241","10.2080078125","10.2080078125","10.2080078125"
"991232","242","242","242","10.44921875","10.44921875","10.44921875"
"995328","243","243","243","10.519775390625","10.519775390625","10.519775390625"
"999424","244","244","244","10.7880859375","10.7880859375","10.7880859375"
"1003520","245","245","245","11.197998046875","11.197998046875","11.197998046875"
"1007616","246","246","246","10.97314453125","10.97314453125","10.97314453125"
"1011712","247","247","247","10.923095703125","10.923095703125","10.923095703125"
"1015808","248","248","248","11.046142578125","11.046142578125","11.046142578125"
"1019904","249","249","249","11.04638671875","11.04638671875","11.04638671875"
"1024000","250","250","250","11.17919921875","11.17919921875","11.17919921875"
"1028096","251","251","251","11.090576171875","11.090576171875","11.090576171875"
"1032192","252","252","252","11.087890625","11.087890625","11.087890625"
"1036288","253","253","253","11.248046875","11.248046875","11.248046875"
"1040384","254","254","254","10.55517578125","10.55517578125","10.55517578125"
"1044480","255","255","255","10.52685546875","10.52685546875","10.52685546875"
"1048576","256","256","256","10.30224609375","10.30224609375","10.30224609375"
"1052672","257","257","257","9.886962890625","9.886962890625","9.886962890625"
"1056768","258","258","258","10.093994140625","10.093994140625","10.093994140625"
"1060864","259","259","259","10.001953125","10.001953125","10.001953125"
"1064960","260","260","260","9.36181640625","9.36181640625","9.36181640625"
"1069056","261","261","261","9.4921875","9.4921875","9.4921875"
"1073152","262","262","262","9.945068359375","9.945068359375","9.945068359375"
"1077248","263","263","263","9.99755859375","9.99755859375","9.99755859375"
"1081344","264","264","264","10.5947265625","10.5947265625","10.5947265625"
"1085440","265","265","265","11.4638671875","11.4638671875","11.4638671875"
"1089536","266","266","266","11.565673828125","11.565673828125","11.565673828125"
"1093632","267","267","267","12.15380859375","12.15380859375","12.15380859375"
"1097728","268","268","268","12.55517578125","12.55517578125","12.55517578125"
"1101824","269","269","269","12.6376953125","12.6376953125","12.6376953125"
"1105920","270","270","270","12.54443359375","12.54443359375","12.54443359375"
"1110016","271","271","271","11.56201171875","11.56201171875","11.56201171875"
"1114112","272","272","272","11.806884765625","11.806884765625","11.806884765625"
"1118208","273","273","273","11.69873046875","11.69873046875","11.69873046875"
"1122304","274","274","274","12.011962890625","12.011962890625","12.011962890625"
"1126400","275","275","275","12.4501953125","12.4501953125","12.4501953125"
"1130496","276","276","276","12.5419921875","12.5419921875","12.5419921875"
"1134592","277","277","277","12.16015625","12.16015625","12.16015625"
"1138688","278","278","278","12.17431640625","12.17431640625","12.17431640625"
"1142784","279","279","279","12.7861328125","12.7861328125","12.7861328125"
"1146880","280","280","280","13.043212890625","13.043212890625","13.043212890625"
"1150976","281","281","281","12.681640625","12.681640625","12.681640625"
"1155072","282","282","282","12.655029296875","12.655029296875","12.655029296875"
"1159168","283","283","283","13.200927734375","13.200927734375","13.200927734375"
"1163264","284","284","284","13.17236328125","13.17236328125","13.17236328125"
"1167360","285","285","285","13.555908203125","13.555908203125","13.555908203125"
"1171456","286","286","286","13.75","13.75","13.75"
"1175552","287","287","287","14.015380859375","14.015380859375","14.015380859375"
"1179648","288","288","288","14.381591796875","14.381591796875","14.381591796875"
"1183744","289","289","289","14.65185546875","14.65185546875","14.65185546875"
"1187840","290","290","290","14.69970703125","14.69970703125","14.69970703125"
"1191936","291","291","291","15.095703125","15.095703125","15.095703125"
"1196032","292","292","292","15.27978515625","15.27978515625","15.27978515625"
"1200128","293","293","293","15.073974609375","15.073974609375","15.073974609375"
"1204224","294","294","294","15.360107421875","15.360107421875","15.360107421875"
"1208320","295","295","295","15.1767578125","15.1767578125","15.1767578125"
"1212416","296","296","296","14.737060546875","14.737060546875","14.737060546875"
"1216512","297","297","297","13.609375","13.609375","13.609375"
"1220608","298","298","298","12.92529296875","12.92529296875","12.92529296875"
"1224704","299","299","299","12.60791015625","12.60791015625","12.60791015625"
"1228800","300","300","300","12.468994140625","12.468994140625","12.468994140625"
"1232896","301","301","301","11.54638671875","11.54638671875","11.54638671875"
"1236992","302","302","302","11.8232421875","11.8232421875","11.8232421875"
"1241088","303","303","303","12.666748046875","12.666748046875","12.666748046875"
"1245184","304","304","304","12.88427734375","12.88427734375","12.88427734375"
"1249280","305","305","305","12.7861328125","12.7861328125","12.7861328125"
"1253376","306","306","306","13.578125","13.578125","13.578125"
"1257472","307","307","307","13.869873046875","13.869873046875","13.869873046875"
"1261568","308","308","308","14.5712890625","14.5712890625","14.5712890625"
"1265664","309","309","309","14.793212890625","14.793212890625","14.793212890625"
"1269760","310","310","310","14.420654296875","14.420654296875","14.420654296875"
"1273856","311","311","311","13.770263671875","13.770263671875","13.770263671875"
"1277952","312","312","312","13.808349609375","13.808349609375","13.808349609375"
"1282048","313","313","313","13.8583984375","13.8583984375","13.8583984375"
"1286144","314","314","314","14.03466796875","14.03466796875","14.03466796875"
"1290240","315","315","315","14.216552734375","14.216552734375","14.216552734375"
"1294336","316","316","316","13.766845703125","13.766845703125","13.766845703125"
"1298432","317","317","317","13.5732421875","13.5732421875","13.5732421875"
"1302528","318","318","318","13.819091796875","13.819091796875","13.819091796875"
"1306624","319","319","319","14.123779296875","14.123779296875","14.123779296875"
"1310720","320","320","320","14.464599609375","14.464599609375","14.464599609375"
"1314816","321","321","321","15.22216796875","15.22216796875","15.22216796875"
"1318912","322","322","322","15.243896484375","15.243896484375","15.243896484375"
"1323008","323","323","323","15.634765625","15.634765625","15.634765625"
"1327104","324","324","324","16.222412109375","16.222412109375","16.222412109375"
"1331200","325","325","325","16.125244140625","16.125244140625","16.125244140625"
"1335296","326","326","326","15.697509765625","15.697509765625","15.697509765625"
"1339392","327","327","327","15.8212890625","15.8212890625","15.8212890625"
"1343488","328","328","328","16.221435546875","16.221435546875","16.221435546875"
"1347584","329","329","329","16.20458984375","16.20458984375","16.20458984375"
"1351680","330","330","330","16.3076171875","16.3076171875","16.3076171875"
"1355776","331","331","331","16.5","16.5","16.5"
"1359872","332","332","332","16.45166015625","16.45166015625","16.45166015625"
"1363968","333","333","333","15.85302734375","15.85302734375","15.85302734375"
"1368064","334","334","334","15.3740234375","15.3740234375","15.3740234375"
"1372160","335","335","335","14.89404296875","14.89404296875","14.89404296875"
"1376256","336","336","336","14.938232421875","14.938232421875","14.938232421875"
"1380352","337","337","337","15.18994140625","15.18994140625","15.18994140625"
"1384448","338","338","338","15.03857421875","15.03857421875","15.03857421875"
"1388544","339","339","339","15.4267578125","15.4267578125","15.4267578125"
"1392640","340","340","340","15.255126953125","15.255126953125","15.255126953125"
"1396736","341","341","341","14.840576171875","14.840576171875","14.840576171875"
"1400832","342","342","342","15.184814453125","15.184814453125","15.184814453125"
"1404928","343","343","343","15.380126953125","15.380126953125","15.380126953125"
"1409024","344","344","344","15.10693359375","15.10693359375","15.10693359375"
"1413120","345","345","345","15.53857421875","15.53857421875","15.53857421875"
"1417216","346","346","346","15.4482421875","15.4482421875","15.4482421875"
"1421312","347","347","347","15.669921875","15.669921875","15.669921875"
"1425408","348","348","348","16.550537109375","16.550537109375","16.550537109375"
"1429504","349","349","349","17.05615234375","17.05615234375","17.05615234375"
"1433600","350","350","350","17.20263671875","17.20263671875","17.20263671875"
"1437696","351","351","351","17.27001953125","17.27001953125","17.27001953125"
"1441792","352","352","352","17.442626953125","17.442626953125","17.442626953125"
"1445888","353","353","353","17.32666015625","17.32666015625","17.32666015625"
"1449984","354","354","354","17.637451171875","17.637451171875","17.637451171875"
"1454080","355","355","355","17.141357421875","17.141357421875","17.141357421875"
"1458176","356","356","356","16.556884765625","16.556884765625","16.556884765625"
"1462272","357","357","357","16.0009765625","16.0009765625","16.0009765625"
"1466368","358","358","358","15.24658203125","15.24658203125","15.24658203125"
"1470464","359","359","359","15.26171875","15.26171875","15.26171875"
"1474560","360","360","360","15.607177734375","15.607177734375","15.607177734375"
"1478656","361","361","361","15.68896484375","15.68896484375","15.68896484375"
"1482752","362","362","362","15.738037109375","15.738037109375","15.738037109375"
"1486848","363","363","363","15.94287109375","15.94287109375","15.94287109375"
"1490944","364","364","364","16.349609375","16.349609375","16.349609375"
"1495040","365","365","365","16.7919921875","16.7919921875","16.7919921875"
"1499136","366","366","366","17.531494140625","17.531494140625","17.531494140625"
"1503232","367","367","367","17.103759765625","17.103759765625","17.103759765625"
"1507328","368","368","368","16.9248046875","16.9248046875","16.9248046875"
"1511424","369","369","369","16.694580078125","16.694580078125","16.694580078125"
"1515520","370","370","370","16.711181640625","16.711181640625","16.711181640625"
"1519616","371","371","371","16.923828125","16.923828125","16.923828125"
"1523712","372","372","372","16.3447265625","16.3447265625","16.3447265625"
"1527808","373","373","373","15.7900390625","15.7900390625","15.7900390625"
"1531904","374","374","374","16.34228515625","16.34228515625","16.34228515625"
"1536000","375","375","375","16.962158203125","16.962158203125","16.962158203125"
"1540096","376","376","376","16.947021484375","16.947021484375","16.947021484375"
"1544192","377","377","377","16.6943359375","16.6943359375","16.6943359375"
"1548288","378","378","378","16.5048828125","16.5048828125","16.5048828125"
"1552384","379","379","379","17.281494140625","17.281494140625","17.281494140625"
"1556480","380","380","380","17.50390625","17.50390625","17.50390625"
"1560576","381","381","381","17.8046875","17.8046875","17.8046875"
"1564672","382","382","382","17.97802734375","17.97802734375","17.97802734375"
"1568768","383","383","383","17.762939453125","17.762939453125","17.762939453125"
"1572864","384","384","384","18.010986328125","18.010986328125","18.010986328125"
"1576960","385","385","385","18.1337890625","18.1337890625","18.1337890625"
"1581056","386","386","386","18.190185546875","18.190185546875","18.190185546875"
"1585152","387","387","387","17.85009765625","17.85009765625","17.85009765625"
"1589248","388","388","388","17.58203125","17.58203125","17.58203125"
"1593344","389","389","389","17.175048828125","17.175048828125","17.175048828125"
"1597440","390","390","390","17.075439453125","17.075439453125","17.075439453125"
"1601536","391","391","391","17.162841796875","17.162841796875","17.162841796875"
"1605632","392","392","392","17.313720703125","17.313720703125","17.313720703125"
"1609728","393","393","393","16.954345703125","16.954345703125","16.954345703125"
"1613824","394","394","394","16.26220703125","16.26220703125","16.26220703125"
"1617920","395","395","395","16.398193359375","16.398193359375","16.398193359375"
"1622016","396","396","396","16.236572265625","16.236572265625","16.236572265625"
"1626112","397","397","397","16.1474609375","16.1474609375","16.1474609375"
"1630208","398","398","398","16.516845703125","16.516845703125","16.516845703125"
"1634304","399","399","399","16.817138671875","16.817138671875","16.817138671875"
"1638400","400","400","400","18.336669921875","18.336669921875","18.336669921875"
"1642496","401","401","401","18.63525390625","18.63525390625","18.63525390625"
"1646592","402","402","402","19.15283203125","19.15283203125","19.15283203125"
"1650688","403","403","403","20.044677734375","20.044677734375","20.044677734375"
"1654784","404","404","404","20.771728515625","20.771728515625","20.771728515625"
"1658880","405","405","405","20.908935546875","20.908935546875","20.908935546875"
"1662976","406","406","406","20.91796875","20.91796875","20.91796875"
"1667072","407","407","407","20.704833984375","20.704833984375","20.704833984375"
"1671168","408","408","408","21.079345703125","21.079345703125","21.079345703125"
"1675264","409","409","409","21.028564453125","21.028564453125","21.028564453125"
"1679360","410","410","410","20.97705078125","20.97705078125","20.97705078125"
"1683456","411","411","411","21.254638671875","21.254638671875","21.254638671875"
"1687552","412","412","412","21.67919921875","21.67919921875","21.67919921875"
"1691648","413","413","413","21.580322265625","21.580322265625","21.580322265625"
